Subject,Age,Sex,Language,Major,Session,Cycle,Trial,BaseRate,Stimulus,Response,Matrix,RT,OldKey
15,20,female,fluent,psychology,1,2,63,40,new,new,cr,1819,left
15,20,female,fluent,psychology,1,2,64,40,old,old,hit,2410,left
15,20,female,fluent,psychology,1,2,65,40,new,new,cr,1488,right
15,20,female,fluent,psychology,1,2,66,40,new,new,cr,1276,left
15,20,female,fluent,psychology,1,2,67,40,old,old,hit,1057,right
15,20,female,fluent,psychology,1,2,68,40,new,old,fa,1631,right
15,20,female,fluent,psychology,1,2,69,40,new,new,cr,1317,left
15,20,female,fluent,psychology,1,2,70,40,old,old,hit,1000,left
15,20,female,fluent,psychology,1,2,71,40,old,old,hit,1128,right
15,20,female,fluent,psychology,1,2,72,40,new,new,cr,1347,left
15,20,female,fluent,psychology,1,2,73,40,old,old,hit,2149,right
15,20,female,fluent,psychology,1,2,74,40,old,old,hit,1461,left
15,20,female,fluent,psychology,1,2,75,40,new,new,cr,1634,right
15,20,female,fluent,psychology,1,2,76,40,new,new,cr,1080,right
15,20,female,fluent,psychology,1,2,77,40,new,old,fa,1541,right
15,20,female,fluent,psychology,1,2,78,40,old,old,hit,2095,right
15,20,female,fluent,psychology,1,2,79,40,new,new,cr,1442,left
15,20,female,fluent,psychology,1,2,80,40,new,new,cr,1136,left
15,20,female,fluent,psychology,1,2,81,40,new,old,fa,2171,left
15,20,female,fluent,psychology,1,2,82,40,old,old,hit,1210,left
15,20,female,fluent,psychology,1,2,83,40,old,new,miss,2162,right
15,20,female,fluent,psychology,1,2,84,40,new,new,cr,977,right
15,20,female,fluent,psychology,1,2,85,40,new,new,cr,1010,right
15,20,female,fluent,psychology,1,2,86,40,new,new,cr,1138,left
15,20,female,fluent,psychology,1,2,87,40,new,new,cr,1405,right
15,20,female,fluent,psychology,1,2,88,40,new,new,cr,1260,left
15,20,female,fluent,psychology,1,2,89,40,new,new,cr,1522,right
15,20,female,fluent,psychology,1,2,90,40,old,old,hit,1148,right
15,20,female,fluent,psychology,1,2,91,40,old,old,hit,950,left
15,20,female,fluent,psychology,1,2,92,40,old,new,miss,1001,left
15,20,female,fluent,psychology,1,2,93,40,old,old,hit,1129,left
15,20,female,fluent,psychology,1,2,94,40,new,new,cr,1060,right
15,20,female,fluent,psychology,1,2,95,40,new,new,cr,1025,left
15,20,female,fluent,psychology,1,2,96,40,new,new,cr,2657,left
15,20,female,fluent,psychology,1,2,97,40,old,old,hit,1997,right
15,20,female,fluent,psychology,1,2,98,40,new,new,cr,1187,left
15,20,female,fluent,psychology,1,2,99,40,new,new,cr,1964,right
15,20,female,fluent,psychology,1,2,100,40,old,new,miss,1124,right
15,20,female,fluent,psychology,1,3,1,60,old,old,hit,1016,left
15,20,female,fluent,psychology,1,3,2,60,new,new,cr,1367,right
15,20,female,fluent,psychology,1,3,3,60,new,new,cr,1225,right
15,20,female,fluent,psychology,1,3,4,60,old,old,hit,1824,right
15,20,female,fluent,psychology,1,3,5,60,old,old,hit,1118,left
15,20,female,fluent,psychology,1,3,6,60,new,new,cr,1338,right
15,20,female,fluent,psychology,1,3,7,60,old,old,hit,1132,left
15,20,female,fluent,psychology,1,3,8,60,old,old,hit,999,right
15,20,female,fluent,psychology,1,3,9,60,new,new,cr,1639,left
15,20,female,fluent,psychology,1,3,10,60,new,new,cr,1501,left
15,20,female,fluent,psychology,1,3,11,60,new,old,fa,1176,left
15,20,female,fluent,psychology,1,3,12,60,new,new,cr,1298,left
15,20,female,fluent,psychology,1,3,13,60,old,old,hit,1126,right
15,20,female,fluent,psychology,1,3,14,60,old,old,hit,1297,right
15,20,female,fluent,psychology,1,3,15,60,old,old,hit,1013,right
15,20,female,fluent,psychology,1,3,16,60,old,old,hit,1204,right
15,20,female,fluent,psychology,1,3,17,60,old,old,hit,1196,left
15,20,female,fluent,psychology,1,3,18,60,old,old,hit,1092,left
15,20,female,fluent,psychology,1,3,19,60,new,new,cr,1153,right
15,20,female,fluent,psychology,1,3,20,60,old,old,hit,2107,left
15,20,female,fluent,psychology,1,3,21,60,new,new,cr,1710,right
15,20,female,fluent,psychology,1,3,22,60,old,new,miss,913,right
15,20,female,fluent,psychology,1,3,23,60,old,old,hit,1365,left
15,20,female,fluent,psychology,1,3,24,60,new,new,cr,1430,left
15,20,female,fluent,psychology,1,3,25,60,old,old,hit,1492,right
15,20,female,fluent,psychology,1,3,26,60,old,old,hit,1168,right
15,20,female,fluent,psychology,1,3,27,60,new,new,cr,3145,right
15,20,female,fluent,psychology,1,3,28,60,old,new,miss,2177,left
15,20,female,fluent,psychology,1,3,29,60,old,old,hit,1569,right
15,20,female,fluent,psychology,1,3,30,60,old,old,hit,985,right
15,20,female,fluent,psychology,1,3,31,60,new,new,cr,1338,right
15,20,female,fluent,psychology,1,3,32,60,old,old,hit,1133,left
15,20,female,fluent,psychology,1,3,33,60,old,old,hit,1160,left
15,20,female,fluent,psychology,1,3,34,60,old,old,hit,2386,left
15,20,female,fluent,psychology,1,3,35,60,new,new,cr,1096,left
15,20,female,fluent,psychology,1,3,36,60,new,new,cr,1428,left
15,20,female,fluent,psychology,1,3,37,60,new,old,fa,1427,right
15,20,female,fluent,psychology,1,3,38,60,old,old,hit,1330,right
15,20,female,fluent,psychology,1,3,39,60,old,new,miss,1700,left
15,20,female,fluent,psychology,1,3,40,60,new,new,cr,2375,left
15,20,female,fluent,psychology,1,3,41,60,old,old,hit,1103,right
